cath_id,count
2.40.50.740,3
1.10.1820.10,1
2.20.25.20,2
4.10.70.10,6
3.30.70.2040,1
6.10.300.20,1
1.20.5.3070,3
1.10.287.990,8
1.10.110.10,3
2.170.130.20,8
1.20.58.1220,2
3.30.457.40,1
3.10.110.20,1
1.20.120.560,10
2.105.10.10,1
3.30.479.10,1
3.40.50.1470,1
3.40.50.11700,1
6.10.250.50,3
1.25.10.70,3
1.20.1050.110,1
1.10.150.190,1
3.30.70.1130,2
1.10.210.10,8
1.10.418.60,3
6.10.250.1210,2
2.60.40.2250,2
3.30.2150.10,1
3.30.1380.10,3
2.170.16.10,2
3.30.70.150,2
3.10.20.70,3
6.10.250.2160,2
2.60.40.840,4
3.10.20.560,2
1.20.5.1070,2
2.30.130.40,4
3.90.730.10,1
3.30.1130.10,2
6.10.250.2790,1
6.10.140.380,1
6.20.240.40,1
3.40.50.12590,2
